点序号	接近中心度	介数中心度
     0	  0.013227	  0.000000
     1	  0.015496	  0.000093
     2	  0.030533	  0.000000
     3	  0.030533	  0.000000
     4	  0.030533	  0.000000
     5	  0.030533	  0.000000
     6	  0.030533	  0.000000
     7	  0.024053	  0.000278
     8	  0.014296	  0.000000
     9	  0.030662	  0.000602
    10	  0.022730	  0.000000
    11	  0.029776	  0.000370
    12	  0.052147	  0.000556
    13	  0.045848	  0.000000
    14	  0.045848	  0.000000
    15	  0.045848	  0.000000
    16	  0.012837	  0.000000
    17	  0.012837	  0.000000
    18	  0.012837	  0.000000
    19	  0.000000	  0.000000
    20	  0.012837	  0.000000
    21	  0.012837	  0.000000
    22	  0.012837	  0.000000
    23	  0.031167	  0.000000
    24	  0.038060	  0.000185
    25	  0.038060	  0.000185
    26	  0.000000	  0.000000
    27	  0.012837	  0.000000
    28	  0.012837	  0.000000
    29	  0.012837	  0.000000
    30	  0.888925	  0.359778
    31	  0.632325	  0.000000
    32	  0.632325	  0.000000
    33	  0.876455	  0.253390
    34	  1.000000	  0.942148
    35	  0.039512	  0.000000
    36	  0.039512	  0.000000
    37	  0.039512	  0.000000
    38	  0.039512	  0.000000
    39	  0.039512	  0.000000
    40	  0.039512	  0.000000
    41	  0.000000	  0.000000
    42	  0.004539	  0.000000
    43	  0.004539	  0.000000
    44	  0.428054	  0.000000
    45	  0.435830	  0.052948
    46	  0.592268	  0.319840
    47	  0.478795	  0.000000
    48	  0.597626	  0.035283
    49	  0.478795	  0.000000
    50	  0.478795	  0.000000
    51	  0.861011	  0.148546
    52	  0.860212	  0.040801
    53	  0.799786	  0.169657
    54	  0.956287	  0.383653
    55	  0.693129	  0.142795
    56	  0.691450	  0.127051
    57	  0.438448	  0.016855
    58	  0.436179	  0.000000
    59	  0.012837	  0.000000
    60	  0.012837	  0.000000
    61	  0.012837	  0.000000
    62	  0.213023	  0.010594
    63	  0.191894	  0.000833
    64	  0.184642	  0.004816
    65	  0.178343	  0.000000
    66	  0.012837	  0.000000
    67	  0.012837	  0.000000
    68	  0.012837	  0.000000
    69	  0.728905	  0.053666
    70	  0.669490	  0.000000
    71	  0.726846	  0.103350
    72	  0.825913	  0.656275
    73	  0.111416	  0.000000
    74	  0.111416	  0.000000
    75	  0.111416	  0.000000
    76	  0.134758	  0.006830
    77	  0.737206	  0.000000
    78	  0.923203	  1.000000
