1899 13838
0 1 1.0
0 8 1.0
0 9 2.0
0 13 2.0
0 18 3.0
0 20 1.0
0 21 1.0
0 28 2.0
0 32 1.0
0 33 1.0
2 0 35.0
2 1 7.0
2 6 4.0
2 11 8.0
2 17 2.0
2 18 1.0
2 20 1.0
2 22 2.0
2 23 1.0
2 28 3.0
2 29 1.0
2 34 1.0
2 35 1.0
2 36 4.0
2 37 1.0
2 40 1.0
2 41 1.0
2 42 1.0
2 45 1.0
2 46 3.0
2 48 1.0
2 49 1.0
2 52 1.0
2 53 1.0
2 54 3.0
2 56 1.0
2 57 2.0
2 58 1.0
2 60 1.0
2 61 2.0
2 62 2.0
2 63 1.0
2 64 7.0
2 65 2.0
2 66 2.0
2 67 1.0
2 68 1.0
2 69 1.0
2 70 3.0
2 71 1.0
2 72 1.0
2 73 1.0
2 74 1.0
2 75 1.0
2 76 6.0
2 77 1.0
2 79 1.0
2 80 1.0
2 81 1.0
2 82 1.0
2 88 1.0
2 89 1.0
2 90 2.0
2 92 2.0
2 93 1.0
2 94 1.0
2 95 1.0
2 96 1.0
2 97 1.0
2 99 2.0
2 100 1.0
2 101 1.0
2 102 1.0
2 103 3.0
2 104 1.0
2 105 2.0
2 106 1.0
2 107 1.0
2 108 1.0
2 109 2.0
2 110 1.0
2 111 2.0
2 112 2.0
2 113 1.0
2 114 1.0
2 116 1.0
2 117 2.0
2 118 1.0
2 119 5.0
2 120 1.0
2 122 2.0
2 123 2.0
2 124 1.0
2 125 1.0
2 126 1.0
2 127 1.0
2 128 1.0
2 129 1.0
2 130 1.0
2 131 1.0
2 132 1.0
2 133 1.0
2 136 1.0
2 137 1.0
2 138 2.0
2 139 1.0
2 140 1.0
2 141 1.0
2 142 2.0
2 143 1.0
2 144 2.0
2 145 1.0
2 146 1.0
2 147 1.0
2 148 1.0
2 149 1.0
2 150 2.0
2 151 1.0
2 152 1.0
2 153 1.0
2 154 1.0
2 156 1.0
2 157 1.0
2 159 1.0
2 160 2.0
2 162 1.0
2 163 1.0
2 164 1.0
2 165 1.0
2 166 1.0
2 167 1.0
2 168 1.0
2 169 1.0
2 170 1.0
2 171 1.0
2 172 1.0
2 176 1.0
2 178 1.0
2 179 1.0
2 180 1.0
2 181 1.0
2 182 1.0
2 184 1.0
2 185 1.0
2 186 1.0
2 187 1.0
2 189 1.0
2 190 1.0
3 0 4.0
3 613 4.0
4 0 1.0
4 2 19.0
4 19 1.0
4 35 25.0
4 36 1.0
4 40 4.0
4 41 1.0
4 43 2.0
4 44 1.0
4 63 1.0
4 83 1.0
4 104 1.0
4 124 1.0
4 133 1.0
4 174 1.0
4 227 1.0
4 231 12.0
4 234 2.0
4 243 1.0
4 253 16.0
4 265 5.0
4 286 1.0
4 304 1.0
4 320 1.0
4 363 1.0
4 364 1.0
4 385 2.0
4 406 1.0
4 424 1.0
4 430 1.0
4 474 2.0
4 518 1.0
4 520 1.0
4 541 1.0
4 542 1.0
4 547 1.0
4 562 1.0
4 563 1.0
4 615 1.0
4 616 1.0
4 617 1.0
4 618 1.0
4 619 2.0
4 620 1.0
4 621 1.0
4 622 1.0
4 633 1.0
4 634 1.0
4 639 1.0
4 641 1.0
4 642 1.0
4 645 1.0
4 648 1.0
4 653 1.0
4 659 1.0
4 661 2.0
4 662 1.0
4 663 1.0
4 664 1.0
4 666 1.0
4 668 1.0
4 669 2.0
4 670 1.0
4 671 1.0
4 673 1.0
4 674 1.0
4 675 1.0
4 676 1.0
4 677 1.0
4 678 1.0
4 682 1.0
4 683 1.0
4 684 1.0
4 685 1.0
4 686 1.0
5 0 12.0
5 2 9.0
5 4 2.0
5 17 5.0
5 40 1.0
5 41 6.0
5 46 3.0
5 47 1.0
5 48 1.0
5 49 7.0
5 51 1.0
5 59 5.0
5 68 3.0
5 71 1.0
5 154 1.0
5 193 5.0
5 196 11.0
5 197 2.0
5 199 1.0
5 203 3.0
5 210 4.0
5 221 1.0
5 232 3.0
5 235 2.0
5 236 6.0
5 243 1.0
5 245 5.0
5 262 1.0
5 263 1.0
5 266 1.0
5 274 7.0
5 277 1.0
5 292 1.0
5 331 1.0
5 332 4.0
5 442 1.0
5 444 2.0
5 446 2.0
5 461 1.0
5 511 1.0
5 532 2.0
5 575 6.0
5 599 1.0
5 626 1.0
5 697 1.0
5 698 2.0
5 699 1.0
5 700 4.0
5 701 1.0
5 703 2.0
5 704 2.0
5 705 2.0
5 706 1.0
5 707 5.0
5 708 5.0
5 709 6.0
5 710 2.0
5 711 1.0
5 712 2.0
5 713 4.0
5 714 2.0
5 715 2.0
5 716 2.0
5 717 1.0
5 718 2.0
5 719 1.0
5 720 1.0
5 721 1.0
5 722 1.0
5 723 3.0
5 725 2.0
5 726 1.0
5 727 1.0
5 728 1.0
5 729 2.0
6 0 4.0
6 4 1.0
6 37 3.0
6 38 2.0
6 62 1.0
6 77 1.0
6 81 1.0
6 112 1.0
6 117 1.0
6 136 1.0
6 153 1.0
6 214 1.0
6 243 1.0
6 311 2.0
6 336 1.0
6 347 1.0
6 372 1.0
6 387 2.0
6 405 1.0
6 410 1.0
6 562 1.0
6 573 1.0
6 586 1.0
6 609 1.0
6 637 1.0
6 645 1.0
6 676 1.0
6 737 1.0
6 777 1.0
6 783 1.0
6 793 1.0
6 796 1.0
6 798 1.0
6 803 2.0
6 806 1.0
6 807 1.0
6 809 3.0
6 811 1.0
6 815 1.0
6 819 1.0
6 820 1.0
6 822 1.0
6 823 1.0
6 825 1.0
6 826 1.0
6 827 1.0
6 829 1.0
6 830 1.0
6 834 1.0
6 837 1.0
6 838 1.0
6 842 1.0
6 843 1.0
6 844 2.0
6 845 1.0
6 847 1.0
6 850 1.0
6 851 1.0
6 853 1.0
6 857 1.0
6 859 1.0
7 0 5.0
7 2 5.0
7 4 2.0
7 5 2.0
7 26 1.0
7 39 1.0
7 41 2.0
7 46 1.0
7 47 5.0
7 48 4.0
7 62 2.0
7 70 4.0
7 76 3.0
7 144 1.0
7 195 2.0
7 197 5.0
7 203 2.0
7 221 1.0
7 232 3.0
7 245 2.0
7 254 1.0
7 262 4.0
7 277 1.0
7 325 1.0
7 470 1.0
7 519 1.0
7 585 2.0
7 616 1.0
7 620 1.0
7 698 1.0
7 700 2.0
7 708 9.0
7 712 6.0
7 716 3.0
7 718 1.0
7 721 1.0
7 862 1.0
7 863 1.0
7 865 5.0
7 866 1.0
7 868 2.0
7 869 2.0
7 870 2.0
7 871 2.0
7 872 1.0
7 873 1.0
7 875 1.0
7 876 5.0
7 879 1.0
7 880 1.0
7 881 1.0
8 4 2.0
8 38 1.0
8 39 1.0
8 43 2.0
8 47 1.0
8 63 2.0
8 216 1.0
8 262 4.0
8 291 18.0
8 1073 4.0
8 1074 1.0
8 1075 3.0
10 0 4.0
10 2 5.0
10 3 2.0
10 6 3.0
10 72 1.0
10 281 1.0
10 444 1.0
11 0 2.0
11 6 5.0
11 49 3.0
11 199 5.0
11 709 3.0
12 0 6.0
12 2 2.0
12 19 2.0
12 36 4.0
