点序号	接近中心度	介数中心度
     0	  0.598379	  0.081260
     1	  0.523089	  0.016755
     2	  0.978186	  0.858239
     3	  0.455427	  0.016605
     4	  0.863669	  0.515788
     5	  0.689824	  0.141853
     6	  0.901655	  0.653710
     7	  0.716862	  0.197086
     8	  0.814363	  0.115787
     9	  0.554475	  0.002990
    10	  0.713891	  0.027749
    11	  0.635923	  0.021873
    12	  0.475947	  0.000837
    13	  0.149369	  0.000000
    14	  0.332487	  0.000036
    15	  0.624872	  0.042954
    16	  0.074246	  0.000000
    17	  0.539605	  0.025057
    18	  0.771761	  0.124804
    19	  0.521043	  0.001723
    20	  0.759579	  0.143190
    21	  0.299368	  0.000000
    22	  0.449763	  0.000000
    23	  0.696004	  0.075578
    24	  0.511826	  0.006812
    25	  0.549936	  0.015265
    26	  0.386336	  0.000639
    27	  0.513800	  0.000994
    28	  0.519460	  0.034207
    29	  0.525233	  0.001289
    30	  0.620101	  0.012015
    31	  0.397830	  0.001741
    32	  0.299368	  0.000000
    33	  0.299368	  0.000000
    34	  0.489272	  0.000000
    35	  0.880077	  0.688637
    36	  0.623154	  0.016678
    37	  0.735645	  0.061680
    38	  0.847456	  0.403776
    39	  0.655364	  0.062260
    40	  0.702994	  0.039551
    41	  0.627720	  0.010059
    42	  0.613584	  0.029534
    43	  0.641321	  0.009902
    44	  0.690492	  0.060728
    45	  0.635235	  0.007775
    46	  0.642585	  0.013543
    47	  0.766981	  0.073024
    48	  0.575166	  0.009703
    49	  1.000000	  1.000000
    50	  0.816605	  0.297287
    51	  0.592189	  0.003314
    52	  0.715629	  0.096199
    53	  0.717243	  0.009811
    54	  0.780005	  0.298373
    55	  0.438891	  0.000503
    56	  0.657400	  0.023222
    57	  0.861757	  0.369296
    58	  0.734874	  0.118791
    59	  0.608597	  0.027935
    60	  0.629406	  0.035210
    61	  0.634083	  0.032590
    62	  0.731204	  0.061283
    63	  0.593989	  0.007380
    64	  0.890367	  0.418077
    65	  0.755065	  0.070615
    66	  0.564422	  0.032692
    67	  0.674209	  0.031008
    68	  0.629180	  0.010997
    69	  0.649875	  0.011666
    70	  0.767741	  0.142497
    71	  0.759363	  0.096289
    72	  0.607282	  0.010753
    73	  0.587009	  0.019401
    74	  0.736077	  0.075367
    75	  0.761563	  0.048492
    76	  0.769180	  0.161350
    77	  0.616874	  0.003166
    78	  0.538937	  0.001211
    79	  0.681117	  0.034876
    80	  0.605411	  0.012149
    81	  0.727503	  0.105063
    82	  0.772111	  0.108602
    83	  0.858127	  0.170141
    84	  0.594545	  0.000995
    85	  0.551962	  0.001614
    86	  0.676100	  0.037589
    87	  0.738040	  0.081431
    88	  0.622950	  0.022683
    89	  0.728295	  0.057674
    90	  0.589188	  0.011720
    91	  0.691850	  0.060930
    92	  0.571104	  0.009559
    93	  0.537590	  0.035700
    94	  0.678814	  0.023751
    95	  0.507766	  0.000778
    96	  0.489272	  0.000000
    97	  0.733661	  0.068985
    98	  0.489272	  0.000000
    99	  0.653287	  0.029728
   100	  0.582969	  0.001064
   101	  0.714282	  0.039891
   102	  0.660875	  0.019701
   103	  0.773960	  0.137056
   104	  0.798429	  0.158067
   105	  0.642534	  0.011826
   106	  0.747920	  0.047110
   107	  0.764719	  0.058544
   108	  0.591820	  0.002294
   109	  0.443425	  0.024378
   110	  0.625212	  0.002557
   111	  0.531133	  0.017691
   112	  0.612484	  0.008206
   113	  0.663270	  0.032709
   114	  0.652249	  0.020578
   115	  0.675021	  0.046778
   116	  0.613337	  0.000410
   117	  0.502800	  0.000194
   118	  0.730567	  0.020355
   119	  0.428245	  0.010583
   120	  0.585539	  0.008310
   121	  0.620575	  0.036151
   122	  0.685630	  0.098110
   123	  0.440412	  0.000539
   124	  0.847529	  0.159258
   125	  0.570879	  0.002384
   126	  0.631472	  0.007624
   127	  0.535555	  0.012975
   128	  0.669850	  0.014676
   129	  0.630105	  0.034700
   130	  0.545208	  0.014215
   131	  0.570303	  0.005365
   132	  0.617213	  0.029184
   133	  0.778495	  0.049775
   134	  0.526116	  0.003023
   135	  0.751262	  0.087894
   136	  0.680562	  0.022414
   137	  0.763434	  0.116570
   138	  0.447090	  0.002080
   139	  0.689948	  0.046716
   140	  0.556928	  0.018213
   141	  0.685589	  0.077017
   142	  0.747776	  0.101450
   143	  0.684232	  0.017251
   144	  0.772377	  0.150585
   145	  0.748948	  0.062822
   146	  0.494247	  0.001901
   147	  0.634639	  0.012717
   148	  0.657770	  0.006947
   149	  0.646050	  0.034830
   150	  0.501166	  0.004330
   151	  0.500292	  0.007141
   152	  0.640992	  0.005734
   153	  0.644539	  0.004807
   154	  0.808761	  0.222456
   155	  0.638082	  0.029170
   156	  0.559807	  0.000567
   157	  0.587338	  0.000579
   158	  0.562839	  0.016741
   159	  0.566653	  0.008357
   160	  0.626249	  0.046063
   161	  0.699807	  0.031553
   162	  0.664010	  0.003747
   163	  0.633559	  0.006574
   164	  0.535884	  0.001272
   165	  0.552662	  0.001624
   166	  0.656290	  0.032576
   167	  0.550246	  0.005477
   168	  0.554173	  0.002420
   169	  0.669356	  0.012515
   170	  0.526066	  0.000866
   171	  0.648045	  0.027764
   172	  0.496129	  0.000909
   173	  0.467666	  0.000849
   174	  0.718127	  0.053790
   175	  0.282729	  0.000009
   176	  0.573737	  0.013642
   177	  0.716565	  0.057056
   178	  0.489272	  0.000000
   179	  0.489272	  0.000000
   180	  0.610551	  0.004519
   181	  0.489272	  0.000000
   182	  0.489272	  0.000000
   183	  0.734617	  0.156587
   184	  0.547963	  0.000364
   185	  0.545599	  0.000832
   186	  0.614921	  0.025421
   187	  0.489272	  0.000000
   188	  0.000000	  0.000000
   189	  0.489518	  0.000055
   190	  0.489272	  0.000000
   191	  0.436655	  0.000000
   192	  0.261723	  0.000000
   193	  0.624604	  0.039686
   194	  0.483215	  0.001414
   195	  0.588643	  0.009076
   196	  0.598183	  0.009676
   197	  0.720820	  0.042194
   198	  0.477397	  0.001175
   199	  0.636797	  0.022906
   200	  0.466993	  0.003318
