点序号	接近中心度	介数中心度
     0	  0.670031	  0.009687
     1	  0.686054	  0.006216
     2	  0.856509	  0.199844
     3	  0.885615	  0.140120
     4	  0.654404	  0.005450
     5	  0.731364	  0.023846
     6	  0.820836	  0.058188
     7	  0.862927	  0.107710
     8	  0.670074	  0.002699
     9	  0.638926	  0.003928
    10	  0.717230	  0.039225
    11	  0.715617	  0.010102
    12	  0.718958	  0.026348
    13	  0.723551	  0.023517
    14	  0.687925	  0.003499
    15	  0.825280	  0.078827
    16	  0.674645	  0.007786
    17	  0.706643	  0.005636
    18	  0.820157	  0.093972
    19	  0.712100	  0.018636
    20	  0.739858	  0.038789
    21	  0.680413	  0.008769
    22	  0.762104	  0.052362
    23	  0.725565	  0.034947
    24	  0.758380	  0.018215
    25	  0.729220	  0.034631
    26	  0.687965	  0.005204
    27	  0.700539	  0.009665
    28	  0.702538	  0.004269
    29	  0.691697	  0.016553
    30	  0.679986	  0.006528
    31	  0.633118	  0.003134
    32	  0.685043	  0.014249
    33	  0.660267	  0.011817
    34	  0.693151	  0.013971
    35	  0.767548	  0.055024
    36	  0.363597	  0.000000
    37	  0.740579	  0.014917
    38	  0.781655	  0.066712
    39	  0.000000	  0.000000
    40	  0.799250	  0.065001
    41	  0.759979	  0.027202
    42	  0.747405	  0.024837
    43	  0.761109	  0.030974
    44	  0.715397	  0.008089
    45	  0.695438	  0.004135
    46	  0.706360	  0.015718
    47	  0.703014	  0.008866
    48	  0.728341	  0.011094
    49	  0.723138	  0.026890
    50	  0.000000	  0.000000
    51	  0.666558	  0.019066
    52	  0.800694	  0.067060
    53	  0.000000	  0.000000
    54	  0.763641	  0.067645
    55	  0.778292	  0.047887
    56	  0.000000	  0.000000
    57	  0.673200	  0.020206
    58	  0.670400	  0.006459
    59	  0.685117	  0.000091
    60	  0.695384	  0.006820
    61	  0.767985	  0.058675
    62	  0.802587	  0.098832
    63	  0.786367	  0.043958
    64	  0.696716	  0.008471
    65	  0.573208	  0.000429
    66	  0.597973	  0.001708
    67	  0.686164	  0.011042
    68	  0.651885	  0.010025
    69	  0.673085	  0.003270
    70	  0.751884	  0.187716
    71	  0.867817	  0.107964
    72	  0.726473	  0.016928
    73	  0.000000	  0.000000
    74	  0.709086	  0.011612
    75	  0.707976	  0.013999
    76	  0.678319	  0.009371
    77	  0.750199	  0.035771
    78	  0.918878	  0.252203
    79	  0.669125	  0.019938
    80	  0.632476	  0.004118
    81	  0.665501	  0.009213
    82	  0.862332	  0.108128
    83	  0.700173	  0.008226
    84	  0.514525	  0.000002
    85	  0.000000	  0.000000
    86	  0.670006	  0.006848
    87	  0.671818	  0.005276
    88	  0.684428	  0.009452
    89	  0.625870	  0.002533
    90	  0.827271	  0.082994
    91	  0.733144	  0.015325
    92	  0.822709	  0.117967
    93	  0.706024	  0.006011
    94	  0.770340	  0.029802
    95	  0.740304	  0.040060
    96	  0.734330	  0.035556
    97	  0.737199	  0.014760
    98	  0.628159	  0.026603
    99	  0.711319	  0.037750
   100	  0.724206	  0.023719
   101	  0.669260	  0.008442
   102	  0.677446	  0.003341
   103	  0.741084	  0.018304
   104	  0.000000	  0.000000
   105	  0.676990	  0.024236
   106	  0.676717	  0.008745
   107	  0.705667	  0.009005
   108	  0.745428	  0.017585
   109	  0.814937	  0.041709
   110	  0.681984	  0.002068
   111	  0.730270	  0.018675
   112	  0.743457	  0.052172
   113	  0.766441	  0.066689
   114	  0.790499	  0.057561
   115	  0.523791	  0.000082
   116	  0.724291	  0.020905
   117	  0.672795	  0.010337
   118	  0.889432	  0.175743
   119	  0.709069	  0.015290
   120	  0.831168	  0.045104
   121	  0.790329	  0.067499
   122	  0.738692	  0.013831
   123	  0.648904	  0.002400
   124	  0.701751	  0.014663
   125	  0.848173	  0.081339
   126	  0.810003	  0.094906
   127	  0.804496	  0.046684
   128	  0.683050	  0.006630
   129	  0.774662	  0.058509
   130	  0.480687	  0.000014
   131	  0.642642	  0.001593
   132	  0.685618	  0.004948
   133	  0.581249	  0.001189
   134	  0.783365	  0.042647
   135	  0.681682	  0.001513
   136	  0.653373	  0.004507
   137	  0.693475	  0.006564
   138	  0.709730	  0.015972
   139	  0.736788	  0.015946
   140	  0.359654	  0.000000
   141	  0.809201	  0.031091
   142	  0.000000	  0.000000
   143	  0.610459	  0.000097
   144	  0.720769	  0.165240
   145	  0.698831	  0.038000
   146	  0.870934	  0.188753
   147	  0.698513	  0.020756
   148	  0.689325	  0.004959
   149	  0.894300	  0.204825
   150	  0.781154	  0.048198
   151	  0.826382	  0.087625
   152	  0.893976	  0.617250
   153	  0.771330	  0.023543
   154	  0.760905	  0.020622
   155	  0.739056	  0.042520
   156	  0.735318	  0.016896
   157	  0.813023	  0.054496
   158	  0.782782	  0.068132
   159	  0.706802	  0.016811
   160	  0.687168	  0.008234
   161	  0.604438	  0.007622
   162	  0.723140	  0.014016
   163	  0.709535	  0.012358
   164	  0.762150	  0.017730
   165	  0.827012	  0.156066
   166	  0.675976	  0.005140
   167	  0.724952	  0.021846
   168	  0.000000	  0.000000
   169	  0.892297	  0.210424
   170	  0.634307	  0.000984
   171	  0.852998	  0.338830
   172	  0.626340	  0.002135
   173	  0.763204	  0.020734
   174	  0.813635	  0.106449
   175	  0.727375	  0.021175
   176	  0.824957	  0.117866
   177	  0.693766	  0.005264
   178	  0.797527	  0.106680
   179	  0.712833	  0.018260
   180	  0.670356	  0.002627
   181	  0.702654	  0.005043
   182	  0.740198	  0.044140
   183	  0.780351	  0.037402
   184	  0.787910	  0.011935
   185	  0.689358	  0.008271
   186	  0.815943	  0.006505
   187	  0.913224	  0.364055
   188	  0.838891	  0.098023
   189	  0.704694	  0.008065
   190	  0.856097	  0.101990
   191	  0.605182	  0.008329
   192	  0.414394	  0.000000
   193	  0.893597	  0.080940
   194	  0.823933	  0.030666
   195	  0.713688	  0.017271
   196	  0.644695	  0.000196
   197	  0.657980	  0.005776
   198	  0.704891	  0.007984
   199	  0.969823	  0.713960
   200	  0.770498	  0.032445
   201	  0.714093	  0.020575
   202	  0.820938	  0.113863
   203	  0.000000	  0.000000
   204	  0.654874	  0.015316
   205	  0.000000	  0.000000
   206	  0.638544	  0.003800
   207	  0.000000	  0.000000
   208	  0.726176	  0.023926
   209	  0.654581	  0.001715
   210	  0.727586	  0.032700
   211	  0.765217	  0.011255
   212	  0.588088	  0.011228
   213	  0.736875	  0.011994
   214	  0.627989	  0.002006
   215	  0.716143	  0.005671
   216	  0.732301	  0.020657
   217	  0.722990	  0.020284
   218	  0.840238	  0.122847
   219	  0.892082	  0.470399
   220	  0.688556	  0.012483
   221	  0.654926	  0.002202
   222	  0.714890	  0.020658
   223	  0.853703	  0.152808
   224	  0.716657	  0.011208
   225	  0.672408	  0.009540
   226	  0.718266	  0.001047
   227	  0.763497	  0.039476
   228	  0.671003	  0.012401
   229	  0.000000	  0.000000
   230	  0.737991	  0.029540
   231	  0.822672	  0.034651
   232	  0.696797	  0.013841
   233	  0.705617	  0.004304
   234	  0.657739	  0.005372
   235	  0.779714	  0.061864
   236	  0.865638	  0.122249
   237	  0.767887	  0.009581
   238	  0.702798	  0.010587
   239	  0.671232	  0.007631
   240	  0.759414	  0.022785
   241	  0.776215	  0.041574
   242	  0.746755	  0.015566
   243	  0.658978	  0.010303
   244	  0.654058	  0.003522
   245	  0.702163	  0.019047
   246	  0.727258	  0.025841
   247	  0.697380	  0.011356
   248	  0.761026	  0.039366
   249	  0.789422	  0.061838
   250	  0.718099	  0.008169
   251	  0.754720	  0.065246
   252	  0.503298	  0.000010
   253	  0.784161	  0.071932
   254	  0.675041	  0.001283
